iter	Passed	Remaining
0	1	140
1	2	144
2	4	143
3	5	132
4	6	131
5	8	131
6	10	137
7	11	135
8	12	130
9	14	129
10	15	127
11	16	124
12	17	120
13	19	116
14	20	113
15	20	110
16	22	107
17	22	104
18	23	101
19	25	101
20	26	98
21	27	97
22	28	95
23	29	92
24	30	90
25	30	87
26	31	85
27	32	82
28	32	80
29	33	78
30	34	76
31	35	74
32	35	72
33	36	71
34	37	69
35	37	67
36	38	65
37	40	65
38	40	63
39	41	62
40	42	60
41	42	58
42	43	57
43	43	55
44	44	54
45	45	53
46	46	51
47	46	50
48	47	49
49	48	48
50	48	46
51	49	45
52	50	44
53	50	43
54	51	42
55	52	40
56	52	39
57	53	39
58	54	37
59	55	36
60	56	35
61	56	34
62	57	34
63	58	33
64	59	32
65	60	30
66	60	29
67	61	28
68	62	28
69	63	27
70	63	26
71	64	25
72	65	24
73	65	23
74	66	22
75	67	21
76	68	20
77	69	19
78	69	18
79	70	17
80	71	16
81	71	15
82	72	14
83	73	13
84	74	13
85	74	12
86	75	11
87	76	10
88	77	9
89	77	8
90	78	7
91	79	6
92	79	6
93	80	5
94	81	4
95	81	3
96	83	2
97	83	1
98	84	0
99	85	0
